client_id,round_number,hierarchy,num_samples,set,accuracy,loss
THE_TWO_GENTLEMEN_OF_VERONA_THURIO,1,"A,S, ,Y,O,U, ,L,I,K,E, ,I,T",1908,train,0.28187919463087246,2.516031265258789
THE_WINTER_S_TALE_PERDITA,1,"T,H,E, ,L,I,F,E, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,I,F,T,H",5085,train,0.2870669248977835,2.5380699634552
THE_WINTER_S_TALE_POLIXENES,1,"T,H,E, ,M,E,R,R,Y, ,W,I,V,E,S, ,O,F, ,W,I,N,D,S,O,R",11745,train,0.28268019922939575,2.5011661052703857
ALLS_WELL_THAT_ENDS_WELL_STEWARD,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",1706,test,0.32,2.539431571960449
AS_YOU_LIKE_IT_DUKE_SENIOR,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",5091,test,0.2511415525114155,2.6404364109039307
KING_HENRY_THE_EIGHTH_LOVELL,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",2510,test,0.26666666666666666,2.8070619106292725
KING_HENRY_THE_EIGHTH_OLD_LADY,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",2470,test,0.3409090909090909,2.4032020568847656
KING_HENRY_THE_EIGHTH_THIRD_GENTLEMAN,1,"M,E,A,S,U,R,E, ,F,O,R, ,M,E,A,S,U,R,E",2110,test,0.3,2.427931547164917
KING_RICHARD_III_RATCLIFF,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",1450,test,0.24324324324324326,2.5215015411376953
MEASURE_FOR_MEASURE_LUCIO,1,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",12244,test,0.29116117850953205,2.4983742237091064
MUCH_ADO_ABOUT_NOTHING_ANT,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",1834,test,0.37168141592920356,2.272947072982788
SECOND_PART_OF_KING_HENRY_IV_DAVY,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,O,T,H,E,L,L,O,,, ,M,O,O,R, ,O,F, ,V,E,N,I,C,E",1426,test,0.3333333333333333,2.3974812030792236
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BASTARD,1,"T,H,E, ,H,I,S,T,O,R,Y, ,O,F, ,T,R,O,I,L,U,S, ,A,N,D, ,C,R,E,S,S,I,D,A",1216,test,0.2549019607843137,2.6052494049072266
THE_FIRST_PART_OF_HENRY_THE_SIXTH_JOHN,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",1845,test,0.22807017543859648,2.603839874267578
